From;To;Distance;Seats;Passengers;ASK;RPK;cost;revenue;RASK;CASK;Yield
0;1;347.2764621;1290;953;447986.6361;330954.4684;23528.90318;37124.26816;0.082869142;0.05252144;0.11217334
0;2;370.5651162;860;630;318686;233456.0232;14477.67514;25410.24349;0.07973442;0.045429279;0.108843812
0;3;654.9651031;370;277;242337.0881;181425.3336;8019.799675;15549.90535;0.064166428;0.033093571;0.085709669
0;4;1246.341404;300;221;373902.4212;275441.4503;10405.27898;19058.33174;0.050971405;0.027828862;0.069191952
0;5;1148.073148;300;167;344421.9443;191728.2156;9722.850251;13589.47902;0.039455904;0.028229474;0.070878869
0;6;941.8758335;370;274;348494.0584;258073.9784;10582.3336;19460.16094;0.055840725;0.030365894;0.075405359
0;7;1444.340451;300;205;433302.1353;296089.7925;11780.29306;19664.94681;0.045383914;0.027187249;0.066415484
0;8;449.3947904;780;508;350527.9365;228292.5535;14251.62029;22798.7247;0.065041106;0.040657588;0.099866265
0;9;1462.997202;150;112;219449.5803;163855.6866;5954.927893;10845.31224;0.049420519;0.027135745;0.066188196
0;10;1564.421595;150;44;234663.2392;68834.55017;6307.101226;4476.759983;0.019077381;0.026877244;0.065036526
0;11;947.5418657;600;432;568525.1194;409338.086;16660.50187;30805.95911;0.054185748;0.029304777;0.075257984
0;12;1848.535757;150;79;277280.3636;146034.3248;7293.62359;9114.245708;0.032870145;0.026304148;0.062411667
0;13;1470.066022;150;93;220509.9033;136716.1401;5979.472777;9037.402537;0.040984112;0.027116572;0.066103406
0;14;533.6977872;450;274;240164.0042;146233.1937;8184.435668;13585.18064;0.056566265;0.034078528;0.0929008
0;15;2104.455882;150;69;315668.3823;145207.4558;8182.248515;8798.119189;0.027871398;0.025920393;0.060589996
0;17;1895.587542;150;46;284338.1313;87197.02694;7457.000304;5410.084902;0.019026941;0.026225819;0.062044373
0;18;1834.815108;150;67;275222.2662;122932.6122;7245.981729;7685.97924;0.027926444;0.026327745;0.06252189
1;0;347.2764621;1290;953;447986.6361;330954.4684;23528.90318;37124.26816;0.082869142;0.05252144;0.11217334
1;3;449.1437717;300;225;134743.1315;101057.3486;6955.858484;10094.66075;0.074917813;0.051623102;0.099890418
1;17;2241.779042;0;14;0;31384.90659;0;1875.716425;0;0;0.05976492
2;0;370.5651162;860;630;318686;233456.0232;14477.67514;25410.24349;0.07973442;0.045429279;0.108843812
2;10;1846.876797;0;15;0;27703.15195;0;1729.366982;0;0;0.062424918
3;0;654.9651031;370;277;242337.0881;181425.3336;8019.799675;15549.90535;0.064166428;0.033093571;0.085709669
3;1;449.1437717;300;225;134743.1315;101057.3486;6955.858484;10094.66075;0.074917813;0.051623102;0.099890418
4;0;1246.341404;300;221;373902.4212;275441.4503;10405.27898;19058.33174;0.050971405;0.027828862;0.069191952
4;5;483.0818179;150;112;72462.27268;54105.1636;3646.27526;5238.814592;0.072297133;0.050319637;0.096826518
4;12;2948.356691;0;4;0;11793.42676;0;667.667683;0;0;0.056613544
5;0;1148.073148;300;167;344421.9443;191728.2156;9722.850251;13589.47902;0.039455904;0.028229474;0.070878869
5;4;483.0818179;150;112;72462.27268;54105.1636;3646.27526;5238.814592;0.072297133;0.050319637;0.096826518
5;8;1485.677767;0;29;0;43084.65523;0;2840.082911;0;0;0.065918664
5;12;2628.879889;0;3;0;7886.639667;0;456.2690189;0;0;0.057853413
5;14;1677.095437;0;17;0;28510.62243;0;1821.886148;0;0;0.063902012
5;17;2982.041973;0;9;0;26838.37776;0;1516.274744;0;0;0.056496512
6;0;941.8758335;370;274;348494.0584;258073.9784;10582.3336;19460.16094;0.055840725;0.030365894;0.075405359
6;11;479.7254484;300;225;143917.6345;107938.2259;7259.252703;10482.14985;0.072834367;0.050440328;0.09711249
6;17;2692.597194;0;3;0;8077.791583;0;465.163785;0;0;0.057585515
7;0;1444.340451;300;205;433302.1353;296089.7925;11780.29306;19664.94681;0.045383914;0.027187249;0.066415484
7;17;3320.001194;0;20;0;66400.02388;0;3681.153742;0;0;0.055439042
8;0;449.3947904;780;508;350527.9365;228292.5535;14251.62029;22798.7247;0.065041106;0.040657588;0.099866265
8;5;1485.677767;0;23;0;34170.58863;0;2252.47955;0;0;0.065918664
8;12;2023.922163;0;19;0;38454.52109;0;2350.318711;0;0;0.061119438
8;13;1826.066711;0;18;0;32869.2008;0;2057.379553;0;0;0.062592929
8;15;2530.735078;0;13;0;32899.55602;0;1917.688534;0;0;0.058289192
8;18;2267.181756;0;4;0;9068.727023;0;540.695336;0;0;0.059621966
9;0;1462.997202;150;112;219449.5803;163855.6866;5954.927893;10845.31224;0.049420519;0.027135745;0.066188196
10;0;1564.421595;150;44;234663.2392;68834.55017;6307.101226;4476.759983;0.019077381;0.026877244;0.065036526
10;2;1846.876797;0;15;0;27703.15195;0;1729.366982;0;0;0.062424918
10;11;2303.409738;0;18;0;41461.37529;0;2463.755239;0;0;0.059422902
10;12;3364.933963;0;7;0;23554.53774;0;1302.862768;0;0;0.055312602
10;13;2749.823597;0;1;0;2749.823597;0;157.7140547;0;0;0.057354244
10;14;1956.744879;0;11;0;21524.19367;0;1325.681192;0;0;0.061590284
10;15;2971.745597;0;16;0;47547.92955;0;2687.981309;0;0;0.056532037
11;0;947.5418657;600;432;568525.1194;409338.086;16660.50187;30805.95911;0.054185748;0.029304777;0.075257984
11;6;479.7254484;300;225;143917.6345;107938.2259;7259.252703;10482.14985;0.072834367;0.050440328;0.09711249
11;10;2303.409738;0;18;0;41461.37529;0;2463.755239;0;0;0.059422902
11;13;523.2007922;150;112;78480.11882;58598.48872;3845.281106;5488.326577;0.0699327;0.048996882;0.093659866
12;0;1848.535757;150;79;277280.3636;146034.3248;7293.62359;9114.245708;0.032870145;0.026304148;0.062411667
12;4;2948.356691;0;4;0;11793.42676;0;667.667683;0;0;0.056613544
12;5;2628.879889;0;9;0;23659.919;0;1368.807057;0;0;0.057853413
12;8;2023.922163;0;13;0;26310.98812;0;1608.112802;0;0;0.061119438
12;10;3364.933963;0;7;0;23554.53774;0;1302.862768;0;0;0.055312602
13;0;1470.066022;150;93;220509.9033;136716.1401;5979.472777;9037.402537;0.040984112;0.027116572;0.066103406
13;8;1826.066711;0;18;0;32869.2008;0;2057.379553;0;0;0.062592929
13;10;2749.823597;0;1;0;2749.823597;0;157.7140547;0;0;0.057354244
13;11;523.2007922;150;112;78480.11882;58598.48872;3845.281106;5488.326577;0.0699327;0.048996882;0.093659866
14;0;533.6977872;450;274;240164.0042;146233.1937;8184.435668;13585.18064;0.056566265;0.034078528;0.0929008
14;5;1677.095437;0;17;0;28510.62243;0;1821.886148;0;0;0.063902012
14;10;1956.744879;0;11;0;21524.19367;0;1325.681192;0;0;0.061590284
14;15;2419.792992;0;13;0;31457.30889;0;1850.289219;0;0;0.058819056
14;18;2339.565966;0;22;0;51470.45125;0;3048.576877;0;0;0.059229651
15;0;2104.455882;150;69;315668.3823;145207.4558;8182.248515;8798.119189;0.027871398;0.025920393;0.060589996
15;8;2530.735078;0;13;0;32899.55602;0;1917.688534;0;0;0.058289192
15;10;2971.745597;0;16;0;47547.92955;0;2687.981309;0;0;0.056532037
15;14;2419.792992;0;13;0;31457.30889;0;1850.289219;0;0;0.058819056
15;17;3690.705854;0;1;0;3690.705854;0;201.0605784;0;0;0.054477541
