"From","To","Distance","Seats","Passengers","ASK","RPK","cost","revenue","RASK","CASK","Yield"
"0.0","1.0","347.276462118","1290.0","967.0","447986.636132","335816.338868","23528.9031839","37124.268157","0.0828691419849","0.0525214398961","0.110549320745"
"0.0","2.0","370.565116243","860.0","645.0","318685.999969","239014.499977","14477.6751414","25410.2434911","0.0797344203811","0.0454292787973","0.106312560508"
"0.0","3.0","654.965103089","370.0","277.0","242337.088143","181425.333556","8019.79967518","15549.9053499","0.0641664281313","0.0330935711766","0.0857096693451"
"0.0","4.0","1246.34140406","300.0","225.0","373902.421217","280426.815913","10405.2789756","19058.3317439","0.0509714050041","0.0278288622517","0.0679618733388"
"0.0","5.0","1148.07314756","300.0","225.0","344421.944269","258316.458202","9722.85025134","13589.4790237","0.0394559035794","0.0282294737984","0.0526078714392"
"0.0","6.0","941.87583354","370.0","277.0","348494.05841","260899.605891","10582.3336024","19460.1609408","0.0558407251749","0.0303658938998","0.074588694277"
"0.0","7.0","1444.34045098","300.0","225.0","433302.135294","324976.601471","11780.2930628","19664.9468077","0.0453839139158","0.0271872490424","0.0605118852211"
"0.0","8.0","449.394790402","780.0","585.0","350527.936513","262895.952385","14251.6202868","22798.7246952","0.0650411060585","0.0406575876052","0.0867214747446"
"0.0","9.0","1462.99720209","150.0","112.0","219449.580314","163855.686635","5954.92789275","10845.3122361","0.0494205193768","0.0271357451868","0.0661881955939"
"0.0","10.0","1564.42159468","150.0","112.0","234663.239203","175215.218605","6307.10122581","4476.75998294","0.019077380838","0.0268772443747","0.0255500636223"
"0.0","11.0","947.541865665","600.0","450.0","568525.119399","426393.839549","16660.5018685","30805.9591131","0.0541857484603","0.029304777045","0.0722476646137"
"0.0","12.0","1848.53575712","150.0","112.0","277280.363568","207036.004797","7293.62358991","9114.24570769","0.0328701448253","0.026304147528","0.044022515391"
"0.0","13.0","1470.0660222","150.0","112.0","220509.903329","164647.394486","5979.4727766","9037.40253731","0.0409841118283","0.0271165724819","0.0548894354844"
"0.0","14.0","533.69778722","450.0","337.0","240164.004249","179856.154293","8184.43566751","13585.180644","0.0565662647343","0.034078527684","0.0755335879242"
"0.0","15.0","2104.45588178","150.0","112.0","315668.382267","235699.058759","8182.24851531","8798.11918945","0.0278713982257","0.025920392966","0.0373277654809"
"0.0","17.0","1895.5875421","150.0","112.0","284338.131315","212305.804716","7457.00030355","5410.08490162","0.0190269411865","0.026225818778","0.0254825105176"
"0.0","18.0","1834.81510775","150.0","112.0","275222.266162","205499.292067","7245.98172883","7685.97924018","0.0279264441332","0.0263277453161","0.0374014876784"
"1.0","0.0","347.276462118","1290.0","967.0","447986.636132","335816.338868","23528.9031839","37124.268157","0.0828691419849","0.0525214398961","0.110549320745"
"1.0","3.0","449.14377165","300.0","225.0","134743.131495","101057.348621","6955.85848439","10094.6607543","0.0749178131921","0.0516231024707","0.0998904175895"
"2.0","0.0","370.565116243","860.0","645.0","318685.999969","239014.499977","14477.6751414","25410.2434911","0.0797344203811","0.0454292787973","0.106312560508"
"3.0","0.0","654.965103089","370.0","277.0","242337.088143","181425.333556","8019.79967518","15549.9053499","0.0641664281313","0.0330935711766","0.0857096693451"
"3.0","1.0","449.14377165","300.0","225.0","134743.131495","101057.348621","6955.85848439","10094.6607543","0.0749178131921","0.0516231024707","0.0998904175895"
"4.0","0.0","1246.34140406","300.0","225.0","373902.421217","280426.815913","10405.2789756","19058.3317439","0.0509714050041","0.0278288622517","0.0679618733388"
"4.0","5.0","483.081817865","150.0","112.0","72462.2726798","54105.1636009","3646.27526046","5238.81459244","0.072297133373","0.0503196370417","0.0968265179103"
"5.0","0.0","1148.07314756","300.0","225.0","344421.944269","258316.458202","9722.85025134","13589.4790237","0.0394559035794","0.0282294737984","0.0526078714392"
"5.0","4.0","483.081817865","150.0","112.0","72462.2726798","54105.1636009","3646.27526046","5238.81459244","0.072297133373","0.0503196370417","0.0968265179103"
"6.0","0.0","941.87583354","370.0","277.0","348494.05841","260899.605891","10582.3336024","19460.1609408","0.0558407251749","0.0303658938998","0.074588694277"
"6.0","11.0","479.725448389","300.0","225.0","143917.634517","107938.225887","7259.25270327","10482.1498474","0.0728343672584","0.0504403280922","0.0971124896779"
"7.0","0.0","1444.34045098","300.0","225.0","433302.135294","324976.601471","11780.2930628","19664.9468077","0.0453839139158","0.0271872490424","0.0605118852211"
"8.0","0.0","449.394790402","780.0","585.0","350527.936513","262895.952385","14251.6202868","22798.7246952","0.0650411060585","0.0406575876052","0.0867214747446"
"9.0","0.0","1462.99720209","150.0","112.0","219449.580314","163855.686635","5954.92789275","10845.3122361","0.0494205193768","0.0271357451868","0.0661881955939"
"10.0","0.0","1564.42159468","150.0","112.0","234663.239203","175215.218605","6307.10122581","4476.75998294","0.019077380838","0.0268772443747","0.0255500636223"
"11.0","0.0","947.541865665","600.0","450.0","568525.119399","426393.839549","16660.5018685","30805.9591131","0.0541857484603","0.029304777045","0.0722476646137"
"11.0","6.0","479.725448389","300.0","225.0","143917.634517","107938.225887","7259.25270327","10482.1498474","0.0728343672584","0.0504403280922","0.0971124896779"
"11.0","13.0","523.200792162","150.0","112.0","78480.1188243","58598.4887222","3845.28110591","5488.3265766","0.0699326996292","0.0489968818028","0.0936598655748"
"12.0","0.0","1848.53575712","150.0","112.0","277280.363568","207036.004797","7293.62358991","9114.24570769","0.0328701448253","0.026304147528","0.044022515391"
"13.0","0.0","1470.0660222","150.0","112.0","220509.903329","164647.394486","5979.4727766","9037.40253731","0.0409841118283","0.0271165724819","0.0548894354844"
"13.0","11.0","523.200792162","150.0","112.0","78480.1188243","58598.4887222","3845.28110591","5488.3265766","0.0699326996292","0.0489968818028","0.0936598655748"
"14.0","0.0","533.69778722","450.0","337.0","240164.004249","179856.154293","8184.43566751","13585.180644","0.0565662647343","0.034078527684","0.0755335879242"
"15.0","0.0","2104.45588178","150.0","112.0","315668.382267","235699.058759","8182.24851531","8798.11918945","0.0278713982257","0.025920392966","0.0373277654809"
"17.0","0.0","1895.5875421","150.0","112.0","284338.131315","212305.804716","7457.00030355","5410.08490162","0.0190269411865","0.026225818778","0.0254825105176"
"18.0","0.0","1834.81510775","150.0","112.0","275222.266162","205499.292067","7245.98172883","7685.97924018","0.0279264441332","0.0263277453161","0.0374014876784"
"TOTAL","","44400.2057973","15140.0","11342.0","11850164.7345","8871958.574","395481.430605","607438.111065","0.0512598874929","0.0333734964419","0.0684671942501"
